city,homicide,rape,robbery,assault,prog_narrow,prog_broad,violent_crime
Albuquerque NM,82,575,1754,5368,0,0,7779
Arlington TX,17,265,405,1406,0,0,2093
Atlanta GA,99,224,1019,2025,0,0,3367
Aurora CO,28,415,640,1701,0,0,2784
Baltimore City MD,348,302,5147,5707,1,1,11504
Baltimore County MD,49,382,1155,3131,0,0,4717
Boston MA,37,230,1044,2824,1,1,4135
Buffalo NY,48,120,811,1497,0,0,2476
Charlotte-Mecklenburg NC,103,306,1993,4561,0,0,6963
Chicago IL,495,1785,7990,15283,1,1,25553
Cincinnati OH,73,310,850,754,0,0,1987
Cleveland OH,123,594,2081,2664,0,0,5462
Columbus OH,104,790,1847,1951,1,0,4692
Dallas TX,203,617,4668,6468,1,1,11956
DeKalb County GA,112,101,1015,1708,1,1,2936
Denver CO,63,748,1203,3438,1,1,5452
Detroit MI,275,952,2346,9467,0,0,13040
El Paso TX,35,278,248,1335,0,0,1896
Fairfax County VA,14,93,344,200,1,1,651
Fort Worth TX,71,560,953,1950,0,0,3534
Fresno CA,45,150,841,1936,0,0,2972
Honolulu HI,17,342,955,1324,0,0,2638
Houston TX,290,1312,9205,14759,1,1,25566
Indianapolis IN Metro,153,515,2506,3422,0,0,6596
Jacksonville FL,151,483,1309,3157,1,1,5100
Kansas City MO,151,256,1395,3367,0,0,5169
Las Vegas NV Metro,87,1412,2111,5868,0,0,9478
Long Beach CA,34,251,958,1131,0,0,2374
Los Angeles CA,258,2289,9659,17274,0,0,29480
Louisville KY Metro,90,280,1011,3603,0,0,4984
Memphis TN,191,355,2469,5592,0,0,8607
Mesa AZ,11,285,390,1266,0,0,1952
Miami FL,51,257,859,972,0,0,2139
Miami-Dade FL,88,699,1318,3750,0,0,5855
Milwaukee WI,97,466,1981,5743,1,1,8287
Minneapolis MN,48,552,1318,3376,0,0,5294
Montgomery County MD,15,377,577,795,0,0,1764
Nashville TN Metro,84,519,1994,4986,1,1,7583
Nassau County NY,9,40,339,791,1,0,1179
Newark NJ,52,140,665,1200,0,0,2057
Oakland CA,75,202,2812,2742,0,0,5831
Oklahoma City OK,64,436,734,2742,0,0,3976
Omaha NE,23,379,519,1962,0,0,2883
Orlando FL,25,204,536,1392,1,1,2157
Philadelphia PA,356,1028,5683,8233,1,1,15300
Phoenix AZ,139,1139,3197,7336,0,0,11811
Pittsburgh PA,37,85,653,987,0,0,1762
Portland OR,28,423,995,2279,1,0,3725
Prince George's County MD,57,158,864,975,1,1,2054
Raleigh NC,29,187,550,933,1,0,1699
Sacramento CA,34,127,1039,2023,0,0,3223
Salt Lake City UT,14,210,422,728,0,0,1374
San Antonio TX,105,1630,1965,7346,1,1,11046
San Diego CA,50,561,1346,3258,0,0,5215
San Francisco CA,41,324,3056,2514,1,1,5935
San Jose CA,32,671,1339,2517,0,0,4559
Seattle WA,34,358,1556,2708,1,0,4656
St. Louis County MO,44,188,343,1249,1,1,1824
St. Louis MO Metro,193,242,1480,3859,1,1,5774
Suffolk County NY,24,205,281,719,1,0,1229
Tampa FL,31,119,285,1186,1,1,1621
Tucson AZ,47,527,1124,2133,0,0,3831
Tulsa,64,364,745,3105,0,0,4278
Virginia Beach VA,30,109,197,275,0,0,611
Washington DC,166,198,2241,1574,0,0,4179
Wichita KS,44,421,477,2426,0,0,3368
